Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7008","Août","","109.354686","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7009","Septembre","","109.774589","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7010","Octobre","","110.828195","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7011","Novembre","","111.552681","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","2","Afghanistan","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7012","Décembre","","111.727865","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7001","Janvier","%","3.838583","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7002","Février","%","3.32681","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7003","Mars","%","2.823759","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7004","Avril","%","3.31384","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7005","Mai","%","2.71581","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7006","Juin","%","2.912621","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7007","Juillet","%","3.003876","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7008","Août","%","3.206997","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7009","Septembre","%","3.498542","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7010","Octobre","%","3.091787","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7011","Novembre","%","3.079885","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23014","Food price inflation","7012","Décembre","%","2.684564","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","122.215209","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","122.331053","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","122.331053","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","122.794428","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","122.678584","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","122.794428","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","123.14196","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","123.026116","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","123.373647","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","123.605335","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","124.06871","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","124.06871","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7001","Janvier","","114.358216","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7002","Février","","115.12133","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7003","Mars","","115.557396","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7004","Avril","","116.320511","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7005","Mai","","116.64756","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7006","Juin","","116.974609","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7007","Juillet","","117.955757","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7008","Août","","117.846741","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7009","Septembre","","118.391823","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7010","Octobre","","118.936905","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7011","Novembre","","119.154938","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","202","Afrique du Sud","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7012","Décembre","","118.936905","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7001","Janvier","%","2.16839","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7002","Février","%","2.73566","Fc","Donnée calculée",""
