Zone,Difference de population,Disponibilité alimentaire Kcal,Disponibilité alimentaire Protéine,Proportion Protéine Animale,Disponibilité alimentaire Kcal - volaille,Solde importation - Quantité,Production,PIB
Djibouti,4.808812625781165,2680.0,66.69,0.1923826660668766,9.0,3.1776294884016525,0.0,4885.22056254083
Dominique,0.5317660229498957,2944.0,78.94,0.5450975424372941,150.0,55.9753708368318,4.98180800447803,11304.359710751101
Égypte,6.2399091521702115,3321.0,96.33,0.24997404754489774,50.0,1.1302060635244242,10.821100926468276,11014.486136551299
El Salvador,1.4558251006162992,2660.0,74.81,0.3468787595241278,71.0,2.191564667594429,21.326741941694987,8454.058198148481
Émirats arabes unis,2.87787756134582,3366.0,107.35,0.408290638099674,147.0,35.73235517328611,4.9636352137617,67183.6265568253
Équateur,4.9657558729750235,2586.0,65.78,0.45515354211006387,83.0,0.0,20.13659522345663,11617.9087583298
Espagne,-0.27975817746015164,3270.0,107.11,0.6211371487256092,105.0,-0.1500618576414604,28.24350666263929,39575.5351485129
Estonie,0.23571498950273437,3245.0,107.5,0.5720000000000001,86.0,7.579260112627804,15.46169062976072,33820.9187318032
Eswatini,2.6484472933206464,2405.0,61.32,0.29533594259621654,22.0,1.7780780754082914,5.355571163129773,8493.90167189328
États-Unis d'Amérique,1.972208724887637,3766.0,113.73,0.6495207948650312,219.0,-10.978675223040291,58.87870597194405,59957.7258513035
Éthiopie,7.806077297802483,2304.0,65.65,0.08910891089108909,0.0,0.009398503307145345,0.6685061417339412,2021.5610459946697
Fédération de Russie,0.594543753428838,3362.0,101.86,0.5478107205968977,104.0,0.7627289148745058,31.2117192541913,26005.979940469
Fidji,1.2547580516490768,2937.0,73.93,0.42215609360205597,97.0,3.4189592687985777,37.689467326145916,13429.3159269998
Finlande,0.9064896749809944,3337.0,117.78,0.6243844455764986,68.0,0.7257723578710921,21.918325207706978,47481.213816010306
France,1.000824921798985,3558.0,112.09,0.6216433223302703,92.0,0.07710990829935468,17.9164100834468,44826.507473903606
Gabon,8.76686587692875,2643.0,79.68,0.4866967871485943,99.0,36.80708245755077,1.888784494532211,15006.764091041101
Gambie,8.575403475330749,2540.0,63.8,0.2600313479623825,12.0,7.227098003965871,0.7001251191341937,2072.6524500401
